cluster,label,value,cluster_size
0 ,                         radio, 0.319306, 145
0 ,                          news, 0.296037, 145
0 ,                         music, 0.291599, 145
0 ,                           com, 0.276646, 145
0 ,                       network, 0.26476, 145
0 ,                  network news, 0.263337, 145
0 ,                     radio com, 0.261133, 145
0 ,                    news music, 0.246255, 145
0 ,            network news music, 0.237715, 145
0 ,                   com network, 0.227751, 145
1 ,                        corner, 0.275777, 51
1 ,                       traffic, 0.226522, 51
1 ,                      man idea, 0.19356, 51
1 ,                          idea, 0.180316, 51
1 ,                       weather, 0.167144, 51
1 ,               traffic weather, 0.15704, 51
1 ,               corner man idea, 0.119114, 51
1 ,                    corner man, 0.119114, 51
1 ,                          rain, 0.108191, 51
1 ,                         swing, 0.107482, 51
2 ,                    month deal, 0.218104, 38
2 ,                        credit, 0.214976, 38
2 ,                         month, 0.185529, 38
2 ,                         radio, 0.18052, 38
2 ,            month lease credit, 0.174567, 38
2 ,                  lease credit, 0.174567, 38
2 ,           lease credit credit, 0.16804, 38
2 ,                 credit credit, 0.16804, 38
2 ,                         lease, 0.162622, 38
2 ,                  car showroom, 0.161138, 38
3 ,                       traffic, 0.301378, 72
3 ,                         right, 0.181576, 72
3 ,                           bit, 0.152671, 72
3 ,                      accident, 0.136278, 72
3 ,                          kcbs, 0.127102, 72
3 ,                      tomorrow, 0.103758, 72
3 ,                           bay, 0.103758, 72
3 ,                           way, 0.0988572, 72
3 ,                        backup, 0.0979505, 72
3 ,                    sleepworld, 0.0961249, 72
5 ,                         radio, 0.506835, 54
5 ,                   personality, 0.310335, 54
5 ,             radio personality, 0.304666, 54
5 ,                         music, 0.18292, 54
5 ,                           com, 0.174351, 54
5 ,             personality radio, 0.166586, 54
5 ,       radio personality radio, 0.162436, 54
5 ,                          news, 0.154078, 54
5 ,                     radio com, 0.154078, 54
5 ,                   music radio, 0.150019, 54
6 ,        roll radio personality, 0.300136, 50
6 ,                   camera roll, 0.300136, 50
6 ,             camera roll radio, 0.300136, 50
6 ,                         radio, 0.284867, 50
6 ,                    roll radio, 0.270826, 50
6 ,             music camera roll, 0.248971, 50
6 ,                  music camera, 0.248971, 50
6 ,             news music camera, 0.248971, 50
6 ,                        camera, 0.213811, 50
6 ,                          roll, 0.200207, 50
7 ,                          home, 0.186727, 70
7 ,                          kcbs, 0.171668, 70
7 ,                      hospital, 0.149176, 70
7 ,                         nurse, 0.132857, 70
7 ,                        policy, 0.132426, 70
7 ,                        health, 0.102405, 70
7 ,                      year boy, 0.0958504, 70
7 ,                           boy, 0.0945897, 70
7 ,                         today, 0.0936369, 70
7 ,                            ve, 0.0859939, 70
8 ,                          kcbs, 0.289706, 73
8 ,                           ray, 0.161337, 73
8 ,                          home, 0.101288, 73
8 ,                        police, 0.0925323, 73
8 ,                 afternoon ray, 0.0917713, 73
8 ,                      security, 0.0889071, 73
8 ,                          game, 0.0884519, 73
8 ,                         money, 0.0877834, 73
8 ,                     marijuana, 0.0862, 73
8 ,                     home game, 0.0849225, 73
9 ,                          rain, 0.28317, 61
9 ,                       traffic, 0.280579, 61
9 ,                         coast, 0.267357, 61
9 ,                        chance, 0.213795, 61
9 ,                       weather, 0.178559, 61
9 ,                           bay, 0.174095, 61
9 ,               traffic weather, 0.166166, 61
9 ,                          kcbs, 0.157973, 61
9 ,                    coast rain, 0.155084, 61
9 ,                   chance rain, 0.142313, 61

